# Abilities Data
# id // name // max_level
abilities
"Charge Strength S (Set Value)" 7
"Charge Strength M (Set Value)" 7
"Dream Shard Magnet S (Set Value)" 7
"Energizing Cheer S" 6
"Charge Strength S (Value Range)" 7
"Dream Shard Magnet S (Value Range)" 7
"Charge Energy S" 6
"Energy for Everyone S" 6
"Extra Helpful S" 6
"Ingredient Magnet S" 6
"Cooking Power-Up S" 6
"Metronome" 1
"Tasty Chance S" 6
"Helper Boost" 6
close

# SubSkill Data
# id // name
subskills
"Berry Finding S"
"Dream Shard Bonus"
"Energy Recovery Bonus"
"Energy Recovery M"
"Energy Recovery S"
"Helping Bonus"
"Helping Speed M"
"Helping Speed S"
"Ingredient Finder M"
"Ingredient Finder S"
"Inventory Up L"
"Inventory Up M"
"Inventory Up S"
"Research EXP Bonus"
"Skill Level Up M"
"Skill Level Up S"
"Skill Trigger M"
"Skill Trigger S"
"Sleep EXP Bonus"
close

# Natures Data
# id // name
natures
"Lonely"
"Adament"
"Naughty"
"Brave"
"Bold"
"Impish"
"Lax"
"Relaxed"
"Modest"
"Mild"
"Rash"
"Quiet"
"Calm"
"Gentle"
"Careful"
"Sassy"
"Timid"
"Hasty"
"Jolly"
"Naive"
"Bashful"
"Hardy"
"Docile"
"Quirky"
"Serious"
close

# Pokemon Data
# pokedex_num // name // type // ability
pokemon
1 "Bulbasaur" grass 10 honey potato tomato
2 "Ivysaur" grass 10 honey potato tomato
3 "Venusaur" grass 10 honey potato tomato
4 "Charmander" fire 10 sausage ginger herb
5 "Charmeleon" fire 10 sausage ginger herb
6 "Charizard" fire 10 sausage ginger herb
7 "Squirtle" water 10 milk cacao sausage
8 "Wartortle" water 10 milk cacao sausage
9 "Blastoise" water 10 milk cacao sausage
10 "Caterpie" bug 10 honey tomato soybeans
11 "Metapod" bug 10 honey tomato soybeans
12 "Butterfree" bug 10 honey tomato soybeans
19 "Rattata" normal 7 apple soybeans sausage
20 "Raticate" normal 7 apple soybeans sausage
23 "Ekans" poison 7 sausage egg herb
24 "Arbok" poison 7 sausage egg herb
25 "Pikachu" electric 1 apple egg ginger
25 "Pikachu (Halloween)" electric 5 apple egg ginger
25 "Pikachu (Holiday)" electric 3 apple egg ginger
26 "Raichu" electric 1 apple egg ginger
35 "Clefairy" fairy 12 apple honey soybeans
36 "Clefable" fairy 12 apple honey soybeans
39 "Jigglypuff" fairy 8 honey oil cacao
40 "Wigglytuff" fairy 8 honey oil cacao
50 "Diglett" ground 1 tomato leek soybeans
51 "Dugtrio" ground 1 tomato leek soybeans
52 "Meowth" normal 3 milk sausage sausage
53 "Persian" normal 3 milk sausage sausage
54 "Psyduck" water 5 cacao apple sausage
55 "Golduck" water 5 cacao apple sausage
56 "Mankey" fighting 5 sausage mushroom honey
57 "Primeape" fighting 5 sausage mushroom honey
58 "Growlithe" fire 9 herb sausage milk
59 "Arcanine" fire 9 herb sausage milk
69 "Bellsprout" grass 7 tomato potato leek
70 "Weepinbell" grass 7 tomato potato leek
71 "Victreebel" grass 7 tomato potato leek
74 "Geodude" rock 5 soybeans mushroom potato
75 "Graveler" rock 5 soybeans mushroom potato
76 "Golem" rock 5 soybeans mushroom potato
79 "Slowpoke" water 4 cacao tail tomato
80 "Slowbro" water 4 cacao tail tomato
81 "Magnemite" steel 11 oil herb herb
82 "Magneton" steel 11 oil herb herb
84 "Doduo" flying 7 soybeans cacao sausage
85 "Dodrio" flying 7 soybeans cacao sausage
92 "Gastly" ghost 5 herb mushroom oil
93 "Haunter" ghost 5 herb mushroom oil
94 "Gengar" ghost 5 herb mushroom oil
95 "Onix" rock 10 tomato sausage potato
104 "Cubone" ground 7 ginger cacao cacao
105 "Marowak" ground 7 ginger cacao cacao
115 "Kangaskhan" normal 10 ginger potato soybeans
122 "Mr. Mime" psychic 1 tomato potato leek
127 "Pinsir" bug 1 honey apple sausage
132 "Ditto" normal 5 oil leek tail
133 "Eevee" normal 10 milk cacao sausage
134 "Vaporeon" water 10 milk cacao sausage
135 "Jolteon" electric 9 milk cacao sausage
136 "Flareon" fire 11 milk cacao sausage
147 "Dratini" dragon 7 herb corn oil
148 "Dragonair" dragon 7 herb corn oil
149 "Dragonite" dragon 7 herb corn oil
152 "Chikorita" grass 5 cacao honey leek
153 "Bayleef" grass 5 cacao honey leek
154 "Meganium" grass 5 cacao honey leek
155 "Cyndaquil" fire 5 ginger herb oil
156 "Quilava" fire 5 ginger herb oil
157 "Typhlosion" fire 5 ginger herb oil
158 "Totodile" water 5 sausage oil oil
159 "Croconaw" water 5 sausage oil oil
160 "Feraligatr" water 5 sausage oil oil
172 "Pichu" electric 1 apple egg ginger
173 "Cleffa" fairy 12 apple honey soybeans
174 "Igglybuff" fairy 8 honey oil cacao
175 "Togepi" fairy 12 egg ginger cacao
176 "Togetic" fairy 12 egg ginger cacao
179 "Mareep" electric 2 herb egg egg
180 "Flaafy" electric 2 herb egg egg
181 "Ampharos" electric 2 herb egg egg
185 "Sudowoodo" rock 2 tomato mushroom soybeans
196 "Espeon" psychic 2 milk cacao sausage
197 "Umbreon" dark 7 milk cacao sausage
199 "Slowking" water 4 cacao tail tomato
202 "Wobbuffet" psychic 4 apple oil mushroom
208 "Steelix" steel 10 apple sausage potato
214 "Heracross" bug 10 honey mushroom sausage
225 "Delibird" flying 10 egg apple cacao
228 "Houndour" dark 1 herb ginger leek
229 "Houndoom" dark 1 herb ginger leek
